3;4;27.2;71.7
3;14;12.5;53.3
3;23;32.1;90.5
3;20;24.8;92.2
3;16;21;36.9
3;18;27.7;93.8
3;23;21.2;69
3;2;12.3;35.8
2;16;17.5;34.5
2;8;28.2;68.1
2;0;12.5;69.9
2;10;23;32.5
2;4;34.8;68.5
2;22;19.6;87.3
2;19;25.3;37.1
2;22;22.3;40.7
4;14;31.8;55
4;3;33.1;99
4;13;24.1;58.2
4;4;27.8;33.7
4;8;26.8;85.6
4;11;26;36.5
4;17;22.9;36.5
4;6;12.3;89
5;4;16.7;85.3
5;20;22.8;32.8
5;12;31.8;59.3
5;13;25.9;51.4
5;16;25.7;42.3
5;14;26;43.5
5;6;29.6;84.1
5;10;20.2;42.7
1;5;22.3;81.7
1;18;14.9;81.7
1;23;33.9;87.8
1;6;16.4;62.3
1;20;24;72.9
1;13;30.1;90.6
1;4;14.3;36.1
1;9;17.8;37
6;7;34.8;97.5
6;0;18.9;32.7
6;5;14.2;42.8
6;21;25.8;38.8
6;15;14.4;94.1
6;6;23.4;32.5
6;5;18.5;52.8
6;23;23.3;79.7
